"Dist Code","Year","State Code","State Name","Dist Name","RICE HARVEST PRICE (Rs per Quintal)","PADDY HARVEST PRICE (Rs per Quintal)","WHEAT HARVEST PRICE (Rs per Quintal)","SORGHUM HARVEST PRICE (Rs per Quintal)","PEARL MILLET HARVEST PRICE (Rs per Quintal)","MAIZE HARVEST PRICE (Rs per Quintal)","FINGER MILLET HARVEST PRICE (Rs per Quintal)","BARLEY HARVEST PRICE (Rs per Quintal)","CHICKPEA HARVEST PRICE (Rs per Quintal)","PIGEONPEA HARVEST PRICE (Rs per Quintal)","GROUNDNUT HARVEST PRICE (Rs per Quintal)","SEASMUM HARVEST PRICE (Rs per Quintal)","RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal)","CASTOR HARVEST PRICE (Rs per Quintal)","LINSEED HARVEST PRICE (Rs per Quintal)","SUGARCANE GUR HARVEST PRICE (Rs per Quintal)","COTTON KAPAS HARVEST PRICE (Rs per Quintal)"
"64","1976","5","Karnataka","Bangalore","-1.0","122.7","-1.0","-1.0","-1.0","110.9","131.6","-1.0","-1.0","-1.0","190.1","-1.0","-1.0","252.1","-1.0","-1.0","-1.0"
"64","1977","5","Karnataka","Bangalore","-1.0","100.8","-1.0","-1.0","-1.0","104.3","100.1","-1.0","-1.0","-1.0","223.0","326.9","-1.0","196.1","-1.0","-1.0","-1.0"
"64","1978","5","Karnataka","Bangalore","-1.0","97.4","-1.0","-1.0","-1.0","90.3","92.0","-1.0","-1.0","-1.0","213.7","291.8","-1.0","170.6","-1.0","-1.0","-1.0"
"64","1979","5","Karnataka","Bangalore","-1.0","103.1","-1.0","-1.0","-1.0","102.4","99.5","-1.0","-1.0","-1.0","260.9","451.9","-1.0","253.2","-1.0","-1.0","-1.0"
"64","1980","5","Karnataka","Bangalore","-1.0","132.7","-1.0","-1.0","-1.0","136.8","167.4","-1.0","-1.0","-1.0","315.7","467.7","-1.0","328.3","-1.0","-1.0","-1.0"
"64","1981","5","Karnataka","Bangalore","-1.0","150.7","-1.0","-1.0","-1.0","137.2","154.1","-1.0","-1.0","-1.0","352.9","471.3","-1.0","372.0","-1.0","-1.0","-1.0"
"64","1982","5","Karnataka","Bangalore","-1.0","157.3","-1.0","-1.0","-1.0","157.4","165.4","-1.0","-1.0","-1.0","355.2","-1.0","-1.0","333.4","-1.0","-1.0","-1.0"
"64","1983","5","Karnataka","Bangalore","-1.0","178.9","-1.0","-1.0","-1.0","157.1","166.5","-1.0","-1.0","-1.0","370.6","475.0","-1.0","439.7","-1.0","-1.0","-1.0"
"64","1984","5","Karnataka","Bangalore","-1.0","161.6","-1.0","-1.0","-1.0","-1.0","155.9","-1.0","-1.0","-1.0","468.8","676.2","-1.0","380.0","-1.0","21.5","-1.0"
"64","1985","5","Karnataka","Bangalore","-1.0","191.3","-1.0","-1.0","187.8","-1.0","165.6","-1.0","-1.0","-1.0","463.3","-1.0","-1.0","306.9","-1.0","-1.0","-1.0"
"64","1986","5","Karnataka","Bangalore","-1.0","177.5","-1.0","-1.0","-1.0","-1.0","164.1","-1.0","190.0","-1.0","490.6","-1.0","-1.0","400.0","-1.0","-1.0","-1.0"
"64","1987","5","Karnataka","Bangalore","-1.0","192.8","-1.0","-1.0","-1.0","-1.0","175.3","-1.0","-1.0","-1.0","641.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"64","1988","5","Karnataka","Bangalore","-1.0","241.0","-1.0","-1.0","-1.0","197.0","226.0","-1.0","-1.0","-1.0","554.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"64","1989","5","Karnataka","Bangalore","-1.0","220.0","-1.0","-1.0","-1.0","212.0","199.0","-1.0","-1.0","-1.0","553.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1966","5","Karnataka","Kolar","-1.0","88.3","138.3","-1.0","-1.0","-1.0","97.1","-1.0","-1.0","-1.0","126.5","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1967","5","Karnataka","Kolar","-1.0","74.6","131.4","-1.0","-1.0","-1.0","83.1","-1.0","-1.0","-1.0","78.3","-1.0","-1.0","-1.0","-1.0","165.0","-1.0"
"65","1968","5","Karnataka","Kolar","-1.0","73.8","122.3","-1.0","-1.0","-1.0","86.4","-1.0","-1.0","-1.0","121.3","-1.0","-1.0","-1.0","-1.0","163.3","-1.0"
"65","1969","5","Karnataka","Kolar","-1.0","62.5","101.0","-1.0","-1.0","-1.0","72.9","-1.0","-1.0","-1.0","146.0","-1.0","-1.0","-1.0","-1.0","57.5","-1.0"
"65","1970","5","Karnataka","Kolar","-1.0","65.9","108.0","-1.0","-1.0","-1.0","69.4","-1.0","-1.0","-1.0","146.0","-1.0","-1.0","-1.0","-1.0","87.7","-1.0"
"65","1971","5","Karnataka","Kolar","-1.0","74.5","105.1","-1.0","-1.0","-1.0","71.1","-1.0","-1.0","-1.0","133.7","-1.0","-1.0","-1.0","-1.0","99.8","-1.0"
"65","1972","5","Karnataka","Kolar","-1.0","102.5","139.5","-1.0","95.0","86.3","99.0","-1.0","-1.0","-1.0","214.8","-1.0","-1.0","-1.0","-1.0","130.9","-1.0"
"65","1973","5","Karnataka","Kolar","-1.0","116.3","223.6","-1.0","104.5","120.2","132.8","-1.0","-1.0","-1.0","233.8","-1.0","-1.0","-1.0","-1.0","105.0","-1.0"
"65","1974","5","Karnataka","Kolar","-1.0","142.4","187.1","-1.0","138.0","158.0","164.9","-1.0","-1.0","-1.0","234.0","-1.0","-1.0","-1.0","-1.0","139.6","-1.0"
"65","1975","5","Karnataka","Kolar","-1.0","89.1","-1.0","-1.0","69.0","-1.0","72.3","-1.0","-1.0","-1.0","137.9","-1.0","-1.0","-1.0","-1.0","132.8","-1.0"
"65","1976","5","Karnataka","Kolar","-1.0","121.9","-1.0","-1.0","100.4","107.5","132.4","-1.0","-1.0","-1.0","244.6","-1.0","-1.0","-1.0","-1.0","132.0","-1.0"
"65","1977","5","Karnataka","Kolar","-1.0","107.3","-1.0","-1.0","103.9","100.0","102.8","-1.0","-1.0","-1.0","214.6","-1.0","-1.0","-1.0","-1.0","117.0","-1.0"
"65","1978","5","Karnataka","Kolar","-1.0","93.8","-1.0","-1.0","67.2","80.2","86.3","-1.0","-1.0","-1.0","186.7","-1.0","-1.0","-1.0","-1.0","113.0","-1.0"
"65","1979","5","Karnataka","Kolar","-1.0","108.9","-1.0","-1.0","80.9","91.2","97.1","-1.0","-1.0","-1.0","259.2","-1.0","-1.0","-1.0","-1.0","158.0","-1.0"
"65","1980","5","Karnataka","Kolar","-1.0","136.4","-1.0","-1.0","128.9","133.9","170.4","-1.0","-1.0","-1.0","361.5","-1.0","-1.0","-1.0","-1.0","249.6","-1.0"
"65","1981","5","Karnataka","Kolar","-1.0","152.8","-1.0","-1.0","121.9","147.8","158.7","-1.0","-1.0","-1.0","374.1","-1.0","-1.0","-1.0","-1.0","188.3","-1.0"
"65","1982","5","Karnataka","Kolar","-1.0","153.9","-1.0","-1.0","141.1","147.3","160.0","-1.0","-1.0","-1.0","369.2","-1.0","-1.0","-1.0","-1.0","159.4","-1.0"
"65","1983","5","Karnataka","Kolar","-1.0","194.6","-1.0","-1.0","156.9","160.8","184.0","-1.0","-1.0","-1.0","407.5","-1.0","-1.0","-1.0","-1.0","184.0","-1.0"
"65","1984","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","143.8","152.9","164.0","-1.0","-1.0","-1.0","440.9","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1985","5","Karnataka","Kolar","-1.0","186.0","-1.0","-1.0","-1.0","-1.0","173.7","-1.0","-1.0","-1.0","420.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1986","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","155.7","-1.0","180.0","-1.0","-1.0","-1.0","520.5","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1987","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","-1.0","225.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1988","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","177.0","202.0","-1.0","-1.0","-1.0","-1.0","506.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1989","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","175.0","232.0","-1.0","-1.0","-1.0","-1.0","641.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1990","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","189.0","233.0","-1.0","-1.0","-1.0","-1.0","1007.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1991","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","-1.0","310.0","220.0","-1.0","-1.0","-1.0","994.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1992","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","225.0","-1.0","-1.0","-1.0","893.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1993","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1994","5","Karnataka","Kolar","-1.0","352.0","-1.0","-1.0","-1.0","-1.0","235.0","-1.0","-1.0","-1.0","972.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1995","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1996","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1997","5","Karnataka","Kolar","-1.0","466.0","706.0","399.0","421.0","372.0","349.0","-1.0","1289.0","1531.0","1132.0","1568.0","-1.0","1112.0","1257.0","-1.0","1887.0"
"65","1998","5","Karnataka","Kolar","-1.0","354.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","1999","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","968.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2000","5","Karnataka","Kolar","-1.0","473.0","-1.0","-1.0","-1.0","386.0","464.0","-1.0","-1.0","-1.0","1186.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2001","5","Karnataka","Kolar","-1.0","513.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1046.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2002","5","Karnataka","Kolar","-1.0","365.0","-1.0","-1.0","-1.0","-1.0","414.0","-1.0","-1.0","-1.0","965.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2003","5","Karnataka","Kolar","-1.0","395.0","-1.0","-1.0","-1.0","-1.0","417.0","-1.0","-1.0","-1.0","987.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2004","5","Karnataka","Kolar","-1.0","490.0","-1.0","-1.0","-1.0","382.0","375.0","-1.0","-1.0","-1.0","1190.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2005","5","Karnataka","Kolar","-1.0","523.0","-1.0","-1.0","-1.0","367.0","395.0","-1.0","1606.0","-1.0","1170.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2006","5","Karnataka","Kolar","-1.0","567.0","-1.0","-1.0","-1.0","675.0","-1.0","-1.0","-1.0","-1.0","1485.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2007","5","Karnataka","Kolar","-1.0","1143.0","-1.0","-1.0","-1.0","-1.0","831.0","-1.0","-1.0","-1.0","2013.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2008","5","Karnataka","Kolar","-1.0","950.0","-1.0","-1.0","-1.0","776.0","1000.0","-1.0","-1.0","-1.0","2094.0","-1.0","-1.0","2508.0","-1.0","-1.0","-1.0"
"65","2009","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","-1.0","1005.0","986.0","-1.0","-1.0","-1.0","2394.0","-1.0","-1.0","2375.0","-1.0","-1.0","-1.0"
"65","2010","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","2241.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2011","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1064.0","-1.0","-1.0","-1.0","2385.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2012","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1690.0","-1.0","-1.0","-1.0","3495.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2013","5","Karnataka","Kolar","-1.0","1638.0","-1.0","-1.0","-1.0","-1.0","1570.0","-1.0","-1.0","-1.0","2691.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2014","5","Karnataka","Kolar","-1.0","1698.0","-1.0","-1.0","-1.0","-1.0","1701.0","-1.0","-1.0","-1.0","3683.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2015","5","Karnataka","Kolar","-1.0","1779.0","-1.0","-1.0","-1.0","-1.0","1731.0","-1.0","-1.0","-1.0","3716.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"65","2016","5","Karnataka","Kolar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","2006.0","-1.0","-1.0","3435.0","4732.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1966","5","Karnataka","Tumkur","-1.0","75.6","-1.0","-1.0","-1.0","-1.0","76.8","-1.0","-1.0","101.8","157.1","-1.0","-1.0","128.3","-1.0","-1.0","-1.0"
"66","1967","5","Karnataka","Tumkur","-1.0","74.6","-1.0","-1.0","-1.0","-1.0","89.3","-1.0","-1.0","115.0","91.3","-1.0","-1.0","82.7","-1.0","-1.0","-1.0"
"66","1968","5","Karnataka","Tumkur","-1.0","73.8","-1.0","-1.0","-1.0","-1.0","75.1","-1.0","-1.0","83.1","109.1","-1.0","-1.0","84.0","-1.0","-1.0","-1.0"
"66","1969","5","Karnataka","Tumkur","-1.0","57.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","100.0","135.2","-1.0","-1.0","99.0","-1.0","-1.0","-1.0"
"66","1970","5","Karnataka","Tumkur","-1.0","65.6","-1.0","54.3","-1.0","-1.0","68.3","-1.0","-1.0","73.5","143.5","-1.0","-1.0","116.4","-1.0","-1.0","-1.0"
"66","1971","5","Karnataka","Tumkur","-1.0","70.0","-1.0","68.0","-1.0","-1.0","69.0","-1.0","-1.0","144.0","139.0","-1.0","-1.0","108.0","-1.0","-1.0","-1.0"
"66","1972","5","Karnataka","Tumkur","-1.0","78.0","-1.0","82.0","-1.0","-1.0","90.0","-1.0","158.0","142.0","194.0","-1.0","-1.0","202.0","-1.0","123.0","-1.0"
"66","1973","5","Karnataka","Tumkur","-1.0","126.9","-1.0","108.8","-1.0","-1.0","127.2","-1.0","224.7","201.7","241.5","-1.0","-1.0","236.3","-1.0","98.7","-1.0"
"66","1974","5","Karnataka","Tumkur","-1.0","151.2","-1.0","145.9","-1.0","-1.0","154.7","-1.0","260.4","264.8","245.2","-1.0","-1.0","157.2","-1.0","135.0","-1.0"
"66","1975","5","Karnataka","Tumkur","-1.0","102.0","-1.0","83.3","-1.0","75.6","87.2","-1.0","-1.0","120.5","163.9","-1.0","-1.0","125.4","-1.0","143.1","-1.0"
"66","1976","5","Karnataka","Tumkur","-1.0","119.4","-1.0","103.2","-1.0","113.7","129.5","-1.0","-1.0","291.7","275.5","-1.0","-1.0","286.3","-1.0","151.0","-1.0"
"66","1977","5","Karnataka","Tumkur","-1.0","100.0","-1.0","92.0","-1.0","92.0","99.0","-1.0","-1.0","244.0","258.0","-1.0","-1.0","247.0","-1.0","118.0","-1.0"
"66","1978","5","Karnataka","Tumkur","-1.0","94.4","-1.0","83.8","-1.0","89.8","91.0","-1.0","-1.0","365.7","205.5","-1.0","-1.0","189.5","-1.0","89.0","-1.0"
"66","1979","5","Karnataka","Tumkur","-1.0","102.7","-1.0","88.0","-1.0","97.3","93.0","-1.0","-1.0","295.2","228.0","-1.0","-1.0","249.3","-1.0","182.3","-1.0"
"66","1980","5","Karnataka","Tumkur","-1.0","127.5","-1.0","120.4","-1.0","121.7","148.1","-1.0","-1.0","303.0","330.8","-1.0","-1.0","263.5","-1.0","249.7","-1.0"
"66","1981","5","Karnataka","Tumkur","-1.0","155.3","-1.0","146.0","-1.0","141.8","160.6","-1.0","-1.0","395.7","397.8","-1.0","-1.0","296.9","-1.0","200.0","-1.0"
"66","1982","5","Karnataka","Tumkur","-1.0","157.5","-1.0","135.8","-1.0","144.5","157.3","-1.0","-1.0","375.9","404.1","-1.0","-1.0","316.8","-1.0","167.6","-1.0"
"66","1983","5","Karnataka","Tumkur","-1.0","204.3","-1.0","158.4","-1.0","158.7","176.2","-1.0","-1.0","430.0","449.4","-1.0","-1.0","488.0","-1.0","199.0","-1.0"
"66","1984","5","Karnataka","Tumkur","-1.0","168.1","-1.0","129.4","-1.0","-1.0","164.8","-1.0","-1.0","-1.0","409.5","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1985","5","Karnataka","Tumkur","-1.0","187.8","-1.0","159.8","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","339.5","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1986","5","Karnataka","Tumkur","-1.0","187.1","-1.0","-1.0","-1.0","-1.0","167.2","-1.0","-1.0","-1.0","546.6","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1987","5","Karnataka","Tumkur","-1.0","204.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","692.0","-1.0","-1.0","-1.0","-1.0","167.0","-1.0"
"66","1988","5","Karnataka","Tumkur","-1.0","225.0","-1.0","-1.0","-1.0","-1.0","208.0","-1.0","-1.0","-1.0","509.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1989","5","Karnataka","Tumkur","-1.0","222.0","-1.0","-1.0","-1.0","-1.0","205.0","-1.0","-1.0","-1.0","678.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1990","5","Karnataka","Tumkur","-1.0","246.0","-1.0","-1.0","-1.0","-1.0","191.0","-1.0","-1.0","-1.0","960.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1991","5","Karnataka","Tumkur","-1.0","305.0","-1.0","-1.0","-1.0","-1.0","215.0","-1.0","-1.0","-1.0","1025.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1992","5","Karnataka","Tumkur","-1.0","376.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","867.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1993","5","Karnataka","Tumkur","-1.0","354.0","-1.0","-1.0","-1.0","-1.0","250.0","-1.0","-1.0","-1.0","899.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1994","5","Karnataka","Tumkur","-1.0","424.0","-1.0","-1.0","-1.0","-1.0","295.0","-1.0","-1.0","-1.0","1080.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1995","5","Karnataka","Tumkur","-1.0","454.0","-1.0","-1.0","-1.0","-1.0","371.0","-1.0","-1.0","-1.0","1186.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1996","5","Karnataka","Tumkur","-1.0","490.0","-1.0","344.0","-1.0","372.0","358.0","-1.0","-1.0","-1.0","1230.0","-1.0","-1.0","963.0","-1.0","-1.0","-1.0"
"66","1997","5","Karnataka","Tumkur","-1.0","474.0","706.0","398.0","421.0","372.0","358.0","-1.0","1289.0","1531.0","1115.0","1568.0","-1.0","1127.0","1257.0","-1.0","1887.0"
"66","1998","5","Karnataka","Tumkur","-1.0","495.0","-1.0","438.0","-1.0","-1.0","376.0","-1.0","-1.0","-1.0","1310.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","1999","5","Karnataka","Tumkur","-1.0","554.0","-1.0","500.0","-1.0","-1.0","501.0","-1.0","-1.0","-1.0","1133.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2000","5","Karnataka","Tumkur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2001","5","Karnataka","Tumkur","-1.0","570.0","-1.0","-1.0","-1.0","464.0","372.0","-1.0","-1.0","-1.0","1226.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2002","5","Karnataka","Tumkur","-1.0","573.0","-1.0","-1.0","-1.0","473.0","480.0","-1.0","-1.0","-1.0","1594.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2003","5","Karnataka","Tumkur","-1.0","600.0","-1.0","-1.0","-1.0","481.0","513.0","-1.0","-1.0","-1.0","1681.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2004","5","Karnataka","Tumkur","-1.0","588.0","-1.0","500.0","-1.0","530.0","476.0","-1.0","-1.0","-1.0","1431.0","-1.0","-1.0","1250.0","-1.0","-1.0","-1.0"
"66","2005","5","Karnataka","Tumkur","-1.0","602.0","-1.0","469.0","-1.0","528.0","487.0","-1.0","-1.0","-1.0","1472.0","-1.0","-1.0","1381.0","-1.0","-1.0","-1.0"
"66","2006","5","Karnataka","Tumkur","-1.0","568.0","-1.0","-1.0","-1.0","678.0","652.0","-1.0","-1.0","-1.0","1784.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2007","5","Karnataka","Tumkur","-1.0","808.0","-1.0","-1.0","-1.0","-1.0","686.0","-1.0","-1.0","-1.0","2392.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2008","5","Karnataka","Tumkur","-1.0","1054.0","-1.0","972.0","-1.0","792.0","876.0","-1.0","-1.0","-1.0","2127.0","-1.0","-1.0","2508.0","-1.0","-1.0","-1.0"
"66","2009","5","Karnataka","Tumkur","-1.0","-1.0","-1.0","-1.0","-1.0","861.0","891.0","-1.0","-1.0","3899.0","2525.0","-1.0","-1.0","2375.0","-1.0","-1.0","-1.0"
"66","2010","5","Karnataka","Tumkur","-1.0","-1.0","-1.0","-1.0","-1.0","905.0","-1.0","-1.0","-1.0","3024.0","2656.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2011","5","Karnataka","Tumkur","-1.0","-1.0","-1.0","-1.0","-1.0","1119.0","1005.0","-1.0","-1.0","2702.0","3202.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2012","5","Karnataka","Tumkur","-1.0","-1.0","-1.0","-1.0","-1.0","1362.0","1741.0","-1.0","-1.0","3100.0","4164.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2013","5","Karnataka","Tumkur","-1.0","-1.0","-1.0","-1.0","-1.0","1302.0","1615.0","-1.0","-1.0","3233.0","3162.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2014","5","Karnataka","Tumkur","-1.0","1378.0","-1.0","-1.0","-1.0","1281.0","1630.0","-1.0","-1.0","3884.0","4467.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2015","5","Karnataka","Tumkur","-1.0","1499.0","-1.0","-1.0","-1.0","1470.0","1610.0","-1.0","-1.0","4295.0","3963.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"66","2016","5","Karnataka","Tumkur","-1.0","1833.5","-1.0","-1.0","-1.0","1597.5","2592.0","-1.0","-1.0","4800.0","4140.5","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"67","1966","5","Karnataka","Mysore","-1.0","65.6","-1.0","78.8","-1.0","-1.0","71.0","-1.0","-1.0","63.2","115.6","126.4","-1.0","82.1","-1.0","47.0","-1.0"
"67","1967","5","Karnataka","Mysore","-1.0","81.8","-1.0","80.0","-1.0","-1.0","71.2","-1.0","-1.0","-1.0","-1.0","156.3","-1.0","95.7","-1.0","-1.0","-1.0"
