HH_ID	STATE	HR	DISTRICT	REGION_TYPE	STRATUM	PSU_ID	MONTH_SLOT	MONTH	RESPONSE_STATUS	REASON_FOR_NON_RESPONSE	HH_WEIGHT_MS	HH_WEIGHT_FOR_COUNTRY_MS	HH_WEIGHT_FOR_STATE_MS	HH_NON_RESPONSE_MS	HH_NON_RESPONSE_FOR_COUNTRY_MS	HH_NON_RESPONSE_FOR_STATE_MS	AGE_GROUP	OCCUPATION_GROUP	EDUCATION_GROUP	GENDER_GROUP	SIZE_GROUP	TOTAL_INCOME	INCOME_OF_ALL_MEMBERS_FROM_ALL_SOURCES	INCOME_OF_ALL_MEMBERS_FROM_WAGES	INCOME_OF_ALL_MEMBERS_FROM_PENSION	INCOME_OF_ALL_MEMBERS_FROM_DIVIDEND	INCOME_OF_ALL_MEMBERS_FROM_INTEREST	INCOME_OF_HOUSEHOLD_FROM_ALL_SOURCES	INCOME_OF_HOUSEHOLD_FROM_RENT	INCOME_OF_HOUSEHOLD_FROM_SELF_PRODUCTION	INCOME_OF_HOUSEHOLD_FROM_PRIVATE_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_GOVERNMENT_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_BUSINESS_PROFIT	INCOME_OF_HOUSEHOLD_FROM_SALE_OF_ASSET	INCOME_OF_HOUSEHOLD_FROM_GAMBLING
94762800	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Sep 2014	Jun 2014	Accepted	No Failure	5174.373679	5174.373679	5174.373679	1.11236	1.11236	1.11236	Grown-up - dominant	Organised Farmers	Households of all illiterates	Female Majority	3 Members	8000	2000	2000	0	0	0	6000	0	0	0	0	6000	0	0
64280047	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Sep 2014	Jun 2014	Accepted	No Failure	5174.373679	5174.373679	5174.373679	1.11236	1.11236	1.11236	Grown-up - dominant	Agricultural Labourers	Households of some literates	Balanced	4 Members	5000	5000	5000	0	0	0	0	0	0	0	0	0	0	0
79586257	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Sep 2014	Jun 2014	Accepted	No Failure	5174.373679	5174.373679	5174.373679	1.11236	1.11236	1.11236	Others households of Grown-ups	Organised Farmers	Graduates minority household	Male Dominated	4 Members	7500	1500	1500	0	0	0	6000	0	0	0	0	6000	0	0
73429517	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Sep 2014	Jun 2014	Accepted	No Failure	5174.373679	5174.373679	5174.373679	1.11236	1.11236	1.11236	Other households of the Young	Agricultural Labourers	Matriculates minority household	Male Majority	7 Members	8000	4500	4500	0	0	0	3500	0	0	0	0	3500	0	0
31941083	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Sep 2014	Jun 2014	Accepted	No Failure	5174.373679	5174.373679	5174.373679	1.11236	1.11236	1.11236	Grown-up - dominant	Agricultural Labourers	Graduates minority household	Male Dominated	4 Members	7000	7000	7000	0	0	0	0	0	0	0	0	0	0	0
15406947	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Sep 2014	Jun 2014	Accepted	No Failure	5174.373679	5174.373679	5174.373679	1.11236	1.11236	1.11236	Balanced households with Seniors	Organised Farmers	Graduates minority household	Balanced	6 Members	6700	1200	1200	0	0	0	5500	0	0	0	0	5500	0	0
73601371	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Sep 2014	Jun 2014	Accepted	No Failure	5174.373679	5174.373679	5174.373679	1.11236	1.11236	1.11236	Balanced households with no Seniors	Organised Farmers	Matriculates majority household	Male Dominated	4 Members	4000	0	0	0	0	0	4000	0	0	0	0	4000	0	0
18673149	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Sep 2014	Jun 2014	Accepted	No Failure	5174.373679	5174.373679	5174.373679	1.11236	1.11236	1.11236	Other households of the Young	Organised Farmers	Households of some literates	Female Majority	5 Members	3500	0	0	0	0	0	3500	0	0	0	0	3500	0	0
60248833	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Sep 2014	Jun 2014	Accepted	No Failure	5174.373679	5174.373679	5174.373679	1.11236	1.11236	1.11236	Balanced households with no Seniors	Organised Farmers	Households of some literates	Balanced	4 Members	4000	0	0	0	0	0	4000	0	0	0	0	4000	0	0
53631934	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Sep 2014	Jun 2014	Accepted	No Failure	5174.373679	5174.373679	5174.373679	1.11236	1.11236	1.11236	Others households of Grown-ups	Agricultural Labourers	Households of some literates	Male Dominated	7 Members	8000	8000	8000	0	0	0	0	0	0	0	0	0	0	0
