HH_ID	STATE	HR	DISTRICT	REGION_TYPE	STRATUM	PSU_ID	MONTH_SLOT	MONTH	RESPONSE_STATUS	REASON_FOR_NON_RESPONSE	FAMILY_SHIFTED	HH_WEIGHT_MS	HH_WEIGHT_FOR_COUNTRY_MS	HH_WEIGHT_FOR_STATE_MS	HH_NON_RESPONSE_MS	HH_NON_RESPONSE_FOR_COUNTRY_MS	HH_NON_RESPONSE_FOR_STATE_MS	AGE_GROUP	OCCUPATION_GROUP	EDUCATION_GROUP	GENDER_GROUP	SIZE_GROUP	TOTAL_INCOME	INCOME_OF_ALL_MEMBERS_FROM_ALL_SOURCES	INCOME_OF_ALL_MEMBERS_FROM_WAGES	INCOME_OF_ALL_MEMBERS_FROM_PENSION	INCOME_OF_ALL_MEMBERS_FROM_DIVIDEND	INCOME_OF_ALL_MEMBERS_FROM_INTEREST	INCOME_OF_HOUSEHOLD_FROM_ALL_SOURCES	INCOME_OF_HOUSEHOLD_FROM_RENT	INCOME_OF_HOUSEHOLD_FROM_SELF_PRODUCTION	INCOME_OF_HOUSEHOLD_FROM_PRIVATE_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_GOVERNMENT_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_BUSINESS_PROFIT	INCOME_OF_HOUSEHOLD_FROM_SALE_OF_ASSET	INCOME_OF_HOUSEHOLD_FROM_GAMBLING
94762800	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Grown-up - dominant	Small/Marginal Farmers	Households of some literates	Female Majority	3 Members	6000	6000	6000	0	0	0	0	0	0	0	0	0	0	0
64280047	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Others households of Grown-ups	Agricultural Labourers	Households of all literates	Balanced	4 Members	8000	8000	8000	0	0	0	0	0	0	0	0	0	0	0
79586257	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Others households of Grown-ups	Small/Marginal Farmers	Graduates minority household	Male Dominated	4 Members	16000	16000	16000	0	0	0	0	0	0	0	0	0	0	0
73429517	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Balanced households with Seniors	Small/Marginal Farmers	Households of some literates	Balanced	6 Members	7000	7000	7000	0	0	0	0	0	0	0	0	0	0	0
31941083	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Grown-up - dominant	Agricultural Labourers	Graduates minority household	Male Dominated	4 Members	19000	19000	19000	0	0	0	0	0	0	0	0	0	0	0
15406947	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Balanced households with Seniors	Small/Marginal Farmers	Graduates minority household	Balanced	6 Members	13000	13000	13000	0	0	0	0	0	0	0	0	0	0	0
73601371	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Balanced households with no Seniors	Small/Marginal Farmers	Matriculates majority household	Male Dominated	4 Members	7000	7000	7000	0	0	0	0	0	0	0	0	0	0	0
18673149	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Other households of the Young	Small/Marginal Farmers	Households of all literates	Female Majority	5 Members	8000	8000	8000	0	0	0	0	0	0	0	0	0	0	0
60248833	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Balanced households with no Seniors	Organised Farmers	Households of all literates	Balanced	4 Members	7000	0	0	0	0	0	7000	0	0	0	0	7000	0	0
53631934	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Others households of Grown-ups	Organised Farmers	Households of all literates	Balanced	4 Members	12000	6000	6000	0	0	0	6000	0	0	0	0	6000	0	0
62962649	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Balanced households with no Seniors	Organised Farmers	Households of all literates	Balanced	4 Members	7000	0	0	0	0	0	7000	0	0	0	0	7000	0	0
84349837	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Balanced households with no Seniors	Organised Farmers	Households of all literates	Balanced	4 Members	13000	7000	7000	0	0	0	6000	0	0	0	0	6000	0	0
14846617	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Grown-up - dominant	Organised Farmers	Graduates minority household	Male Majority	3 Members	8000	0	0	0	0	0	8000	0	0	0	0	8000	0	0
78248210	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Balanced households with no Seniors	Organised Farmers	Matriculates majority household	Balanced	4 Members	7000	0	0	0	0	0	7000	0	0	0	0	7000	0	0
78111630	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Other households of the Young	Organised Farmers	Matriculates majority household	Female Dominated	5 Members	8000	0	0	0	0	0	8000	0	0	0	0	8000	0	0
53529270	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Grown-up - dominant	Organised Farmers	Households of all literates	Only Males	1 Member	5000	0	0	0	0	0	5000	0	0	0	0	5000	0	0
15094346	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Grown-up - dominant	Organised Farmers	Matriculates majority household	Male Majority	3 Members	12000	6000	6000	0	0	0	6000	0	0	0	0	6000	0	0
47972025	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Grown-up - dominant	Organised Farmers	Households of all literates	Balanced	2 Members	6000	0	0	0	0	0	6000	0	0	0	0	6000	0	0
27779419	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Grown-up - dominant	Organised Farmers	Households of all literates	Balanced	2 Members	9000	0	0	0	0	0	9000	0	0	0	0	9000	0	0
10655277	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Grown-up - dominant	Organised Farmers	Households of all literates	Balanced	2 Members	6000	0	0	0	0	0	6000	0	0	0	0	6000	0	0
79350401	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Grown-up - dominant	Organised Farmers	Graduates majority household	Balanced	2 Members	12000	6000	6000	0	0	0	6000	0	0	0	0	6000	0	0
85816179	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Grown-up - dominant	Organised Farmers	Households of all literates	Balanced	4 Members	7000	0	0	0	0	0	7000	0	0	0	0	7000	0	0
25351536	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Grown-up - dominant	Self-employed Entrepreneurs	Graduates minority household	Male Majority	3 Members	13000	13000	13000	0	0	0	0	0	0	0	0	0	0	0
30037239	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Balanced households with no Seniors	Organised Farmers	Households of all literates	Female Dominated	4 Members	7000	0	0	0	0	0	7000	0	0	0	0	7000	0	0
82719262	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jun 2016	Mar 2016	Accepted	No Failure	N	5490.586897	5490.586897	5490.586897	1.052632	1.052632	1.052632	Others households of Grown-ups	Small/Marginal Farmers	Households of all literates	Balanced	2 Members	8000	8000	8000	0	0	0	0	0	0	0	0	0	0	0
