HH_ID	STATE	HR	DISTRICT	REGION_TYPE	STRATUM	PSU_ID	MONTH_SLOT	MONTH	RESPONSE_STATUS	REASON_FOR_NON_RESPONSE	FAMILY_SHIFTED	HH_WEIGHT_MS	HH_WEIGHT_FOR_COUNTRY_MS	HH_WEIGHT_FOR_STATE_MS	HH_NON_RESPONSE_MS	HH_NON_RESPONSE_FOR_COUNTRY_MS	HH_NON_RESPONSE_FOR_STATE_MS	AGE_GROUP	OCCUPATION_GROUP	EDUCATION_GROUP	GENDER_GROUP	SIZE_GROUP	TOTAL_INCOME	INCOME_OF_ALL_MEMBERS_FROM_ALL_SOURCES	INCOME_OF_ALL_MEMBERS_FROM_WAGES	INCOME_OF_ALL_MEMBERS_FROM_PENSION	INCOME_OF_ALL_MEMBERS_FROM_DIVIDEND	INCOME_OF_ALL_MEMBERS_FROM_INTEREST	INCOME_OF_ALL_MEMBERS_FROM_FD_PF_INSURANCE	INCOME_OF_HOUSEHOLD_FROM_ALL_SOURCES	INCOME_OF_HOUSEHOLD_FROM_RENT	INCOME_OF_HOUSEHOLD_FROM_SELF_PRODUCTION	INCOME_OF_HOUSEHOLD_FROM_PRIVATE_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_GOVERNMENT_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_BUSINESS_PROFIT	INCOME_OF_HOUSEHOLD_FROM_SALE_OF_ASSET	INCOME_OF_HOUSEHOLD_FROM_GAMBLING
94762800	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	Matriculates majority household	Balanced	2 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
64280047	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	Matriculates majority household	Balanced	2 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
79586257	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Others households of Grown-ups	Self-employed Entrepreneurs	Households of all literates	Balanced	2 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
73429517	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Wage Labourers	Households of all literates	Balanced	2 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
31941083	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	Graduates minority household	Male Majority	3 Members	22700	22700	22700	0	0	0	0	0	0	0	0	0	0	0	0
15406947	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Wage Labourers	Graduates minority household	Balanced	4 Members	15900	15900	15900	0	0	0	0	0	0	0	0	0	0	0	0
73601371	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Agricultural Labourers	Matriculates majority household	Male Majority	3 Members	10700	10700	10700	0	0	0	0	0	0	0	0	0	0	0	0
18673149	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Wage Labourers	Households of all literates	Female Majority	3 Members	10700	10700	10700	0	0	0	0	0	0	0	0	0	0	0	0
60248833	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Agricultural Labourers	Households of all literates	Male Majority	3 Members	16250	16000	16000	0	0	0	0	250	0	0	0	250	0	0	0
53631934	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Balanced households with no Seniors	Self-employed Entrepreneurs	All Matriculates household	Balanced	2 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
62962649	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Youngsters - dominant	Small/Marginal Farmers	Households of all literates	Male Majority	3 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
84349837	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Wage Labourers	Households of all literates	Male Majority	3 Members	13250	13000	13000	0	0	0	0	250	0	0	0	250	0	0	0
14846617	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Self-employed Entrepreneurs	Graduates minority household	Male Majority	3 Members	17250	17000	17000	0	0	0	0	250	0	0	0	250	0	0	0
78248210	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	Matriculates majority household	Balanced	2 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
78111630	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	All Matriculates household	Female Majority	3 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
53529270	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Wage Labourers	Households of all literates	Only Males	1 Member	12750	12500	12500	0	0	0	0	250	0	0	0	250	0	0	0
15094346	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	Matriculates majority household	Male Majority	3 Members	17250	17000	17000	0	0	0	0	250	0	0	0	250	0	0	0
47972025	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	Households of all literates	Balanced	2 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
27779419	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Non-Response	Not accepted	Data Not Available	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
10655277	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Agricultural Labourers	Households of all literates	Balanced	2 Members	12250	12000	12000	0	0	0	0	250	0	0	0	250	0	0	0
79350401	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	All Graduates household	Only Males	1 Member	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
85816179	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Agricultural Labourers	Households of all literates	Balanced	2 Members	12250	12000	12000	0	0	0	0	250	0	0	0	250	0	0	0
25351536	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Self-employed Entrepreneurs	Households of all literates	Balanced	2 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
30037239	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	Households of all literates	Female Majority	3 Members	12250	12000	12000	0	0	0	0	250	0	0	0	250	0	0	0
82719262	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Others households of Grown-ups	Small/Marginal Farmers	Households of all literates	Balanced	2 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
38052200	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Seniors - dominant	Small/Marginal Farmers	Households of all literates	Balanced	2 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
90178552	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	Households of all literates	Balanced	2 Members	14250	14000	14000	0	0	0	0	250	0	0	0	250	0	0	0
73143176	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Wage Labourers	Matriculates majority household	Balanced	2 Members	12250	12000	12000	0	0	0	0	250	0	0	0	250	0	0	0
17469058	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	All Graduates household	Female Majority	3 Members	15250	15000	15000	0	0	0	0	250	0	0	0	250	0	0	0
48392663	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Non-Response	Locked	Data Not Available	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
18200013	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Non-Response	Locked	Data Not Available	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
17305081	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2019	Apr 2019	Non-Response	Locked	Data Not Available	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
31216012	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Agricultural Labourers	Households of all literates	Balanced	2 Members	9750	9500	9500	0	0	0	0	250	0	0	0	250	0	0	0
17367492	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	Households of all literates	Balanced	2 Members	18280	18000	18000	0	0	0	0	280	0	0	0	280	0	0	0
27327004	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Wage Labourers	Households of all literates	Balanced	2 Members	12280	12000	12000	0	0	0	0	280	0	0	0	280	0	0	0
96981533	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Agricultural Labourers	Households of all literates	Balanced	2 Members	12280	12000	12000	0	0	0	0	280	0	0	0	280	0	0	0
10738026	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	May 2019	Apr 2019	Accepted	No Failure	N	3765.33504	3765.33504	3765.33504	1.212521	1.212521	1.212521	Grown-up - dominant	Small/Marginal Farmers	Households of all literates	Male Majority	3 Members	25280	25000	25000	0	0	0	0	280	0	0	0	280	0	0	0
