WAVE_NO	HH_ID	MEM_ID	STATE	HR	DISTRICT	REGION_TYPE	STRATUM	PSU_ID	MONTH_SLOT	RESPONSE_STATUS	REASON_FOR_NON_RESPONSE	FAMILY_SHIFTED	MEM_WEIGHT_W	MEM_WEIGHT_FOR_COUNTRY_W	MEM_WEIGHT_FOR_STATE_W	GE15_MEM_WEIGHT_W	GE15_MEM_WEIGHT_FOR_COUNTRY_W	GE15_MEM_WEIGHT_FOR_STATE_W	MEM_NON_RESPONSE_W	MEM_NON_RESPONSE_FOR_COUNTRY_W	MEM_NON_RESPONSE_FOR_STATE_W	GE15_MEM_NON_RESPONSE_W	GE15_MEM_NON_RESPONSE_FOR_COUNTRY_W	GE15_MEM_NON_RESPONSE_FOR_STATE_W	MEMBER_STATUS	REASON_FOR_EMIGRATION_IMMIGRATION	EMIGRATED_IMMIGRATED_FROM_TO_STATE	EMIGRATED_IMMIGRATED_FROM_TO_DISTRICT	EMIGRATED_IMMIGRATED_FROM_TO_REGION_TYPE	WILL_EMIGRATE	WILL_EMIGRATE_REASON	TIME_TO_EMIGRATE	WILL_EMIGRATE_STATE	WILL_EMIGRATE_DISTRICT	WILL_EMIGRATE_REGION_TYPE	GENDER	AGE_YRS	AGE_MTHS	RELATION_WITH_HOH	MARITAL_STATUS	STATE_OF_ORIGIN	RELIGION	CASTE	CASTE_CATEGORY	LITERACY	EDUCATION	DISCIPLINE	HAS_DIPLOMA	DISCIPLINE_OF_DIPLOMA	NATURE_OF_OCCUPATION	INDUSTRY_OF_OCCUPATION	OCCUPATION	EMPLOYMENT_STATUS	EMPLOYMENT_STATUS_SINCE_YRS	EMPLOYMENT_STATUS_SINCE_MTHS	EMPLOYMENT_STATUS_SINCE_DAYS	TYPE_OF_EMPLOYMENT	EMPLOYMENT_ARRANGEMENT	PLACE_OF_WORK	TIME_TO_START_WORKING	TIME_SPENT_ON_WORK_FOR_HH_AND_MEM	TIME_SPENT_ON_WORK_FOR_EMPLOYER	TIME_SPENT_ON_WORK_AS_UNPAID_TRAINEE	TIME_SPENT_ON_WORK_AS_UNPAID_VOLUNTEER	TIME_SPENT_ON_TRAVEL	TIME_SPENT_ON_LEARNING	TIME_SPENT_ON_RELIGIOUS_ACTIVITIES	TIME_SPENT_ON_OUTDOOR_SPORTS	TIME_SPENT_ON_HANGING_OUT_OR_WITH_FRIENDS	TIME_SPENT_ON_INDOOR_ENTERTAINMENT	TIME_SPENT_ON_OTHER_ACTIVITIES_FOR_SELF	IS_HEALTHY	IS_ON_REGULAR_MEDICATION	IS_HOSPITALISED	HAS_BANK_AC	HAS_CREDITCARD	HAS_KISAN_CREDITCARD	HAS_DEMAT_AC	HAS_PF_AC	HAS_LIC	HAS_HEALTH_INSURANCE	HAS_MOBILE
26	94762800	1	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	M	50	0	HOH	Married	Karnataka	Hindu	Naikda	ST	Y	10th Std. Pass	Not Applicable	N	Not Applicable	Organised Farmer	Crop Cultivation	(Organised crop farmers) Crop cultivators, vegetable cultivators, fruit growers, Floriculturists	Employed	22	-100	-100	Full-time	Self-employed not on digital platform	Own-farm	Not Applicable	1.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	10.0	Y	N	N	Y	N	Y	N	N	N	N	Y
26	94762800	2	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	F	45	0	Spouse	Married	Karnataka	Hindu	Naikda	ST	Y	8th Std. Pass	Not Applicable	N	Not Applicable	Organised Farmer	Crop Cultivation	(Organised crop farmers) Crop cultivators, vegetable cultivators, fruit growers, Floriculturists	Employed	20	-100	-100	Full-time	Self-employed not on digital platform	Own-farm	Not Applicable	1.0	9.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	11.0	Y	N	N	Y	N	N	N	N	N	N	N
26	64280047	1	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	M	65	0	HOH	Married	Karnataka	Hindu	Naikda	ST	Y	5th Std. Pass	Not Applicable	N	Not Applicable	Retired/Aged	Not Applicable	Retired/Aged	Unemployed, not willing and not looking for a job	22	-100	-100	Not Applicable	Not Applicable	Not Applicable	Never	1.0	-100.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	16.0	Y	Y	N	Y	N	N	N	N	N	N	N
26	64280047	2	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	F	62	0	Spouse	Married	Karnataka	Hindu	Naikda	ST	Y	8th Std. Pass	Not Applicable	N	Not Applicable	Retired/Aged	Not Applicable	Retired/Aged	Unemployed, not willing and not looking for a job	20	-100	-100	Not Applicable	Not Applicable	Not Applicable	Never	1.0	-100.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	16.0	Y	N	N	Y	N	N	N	N	N	N	N
26	64280047	5	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	F	30	0	Daughter-in-law	Married	Karnataka	Hindu	Naikda	ST	Y	11th Std. Pass	Arts	N	Not Applicable	Home Maker	Not Applicable	Home Makers	Unemployed, not willing and not looking for a job	15	-100	-100	Not Applicable	Not Applicable	Not Applicable	Never	1.0	-100.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	16.0	Y	N	N	Y	N	N	N	N	N	N	Y
26	64280047	6	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	M	35	0	Son	Married	Karnataka	Hindu	Naikda	ST	Y	8th Std. Pass	Not Applicable	N	Not Applicable	Self Employed Entrepreneur	Retail Trade	Smaller businessmen (smaller shops or offices), Shopkeepers, small dhaba owners	Employed	12	-100	-100	Full-time	Self-employed not on digital platform	Own - establishments/shops/vehicles	Not Applicable	1.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	10.0	Y	N	N	Y	N	Y	N	N	Y	N	Y
26	79586257	1	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	M	65	0	HOH	Married	Karnataka	Hindu	Holaya	SC	Y	10th Std. Pass	Not Applicable	N	Not Applicable	Retired/Aged	Not Applicable	Retired/Aged	Unemployed, not willing and not looking for a job	25	-100	-100	Not Applicable	Not Applicable	Not Applicable	Never	1.0	-100.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	16.0	Y	Y	N	Y	N	N	N	N	N	N	N
26	79586257	2	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	F	60	0	Spouse	Married	Karnataka	Hindu	Holaya	SC	Y	5th Std. Pass	Not Applicable	N	Not Applicable	Retired/Aged	Not Applicable	Retired/Aged	Unemployed, not willing and not looking for a job	22	-100	-100	Not Applicable	Not Applicable	Not Applicable	Never	1.0	-100.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.0	15.0	Y	N	N	Y	N	N	N	N	N	N	N
26	79586257	3	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	M	30	0	Son	Unmarried	Karnataka	Hindu	Holaya	SC	Y	9th Std. Pass	Not Applicable	N	Not Applicable	Self Employed Entrepreneur	Retail Trade	Smaller businessmen (smaller shops or offices), Shopkeepers, small dhaba owners	Employed	10	-100	-100	Full-time	Self-employed not on digital platform	Own - establishments/shops/vehicles	Not Applicable	1.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	10.0	Y	N	N	Y	N	N	N	N	Y	N	Y
26	79586257	4	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	M	28	0	Son	Unmarried	Karnataka	Hindu	Holaya	SC	Y	10th Std. Pass	Not Applicable	N	Not Applicable	Wage Labourer	Real Estate & Construction	Masons (Mistri), Brick layers	Employed	8	-100	-100	Full-time	Daily Wage worker/ Casual labour	Market place	Not Applicable	1.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	12.0	Y	N	N	Y	N	N	N	N	Y	N	Y
26	73429517	1	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Emigrated	Family split	Karnataka	Chitradurga	URBAN	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
26	73429517	2	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Emigrated	Family split	Karnataka	Chitradurga	URBAN	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
26	73429517	3	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	M	36	0	HOH	Married	Karnataka	Hindu	Naikda	ST	Y	5th Std. Pass	Not Applicable	N	Not Applicable	Wage Labourer	Real Estate & Construction	Masons (Mistri), Brick layers	Employed	10	-100	-100	Full-time	Daily Wage worker/ Casual labour	Market place	Not Applicable	1.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	12.0	Y	N	N	Y	N	N	N	N	Y	N	Y
